do_totals, basic@00401c87, 00401c87, 00401cb6
do_totals, basic@00401cbc, 00401cbc, 00401cc4
do_totals, basic@00401cca, 00401cca, 00401cda
do_totals, basic@00401c10, 00401c10, 00401c1f
parse_entries, basic@00401d30, 00401d30, 00401d53
parse_entries, basic@00401d58, 00401d58, 00401d63
parse_entries, basic@00401d63, 00401d63, 00401d63
parse_entries, basic@00401de0, 00401de0, 00401dee
parse_entries, basic@00402272, 00402272, 00402272
parse_entries, basic@00401df4, 00401df4, 00401dfe
parse_entries, basic@00401d65, 00401d65, 00401d6f
parse_entries, basic@00402068, 00402068, 00402092
parse_entries, basic@00401d75, 00401d75, 00401d7f
parse_entries, basic@00401d81, 00401d81, 00401d8b
parse_entries, basic@00402130, 00402130, 0040215a
parse_entries, basic@00401d91, 00401d91, 00401d9b
parse_entries, basic@00401e00, 00401e00, 00401e03
parse_entries, basic@00402110, 00402110, 00402123
parse_entries, basic@00401e09, 00401e09, 00401e0d
parse_entries, basic@00401e78, 00401e78, 00401e7f
parse_entries, basic@00401e0f, 00401e0f, 00401e2a
parse_entries, basic@00401e30, 00401e30, 00401e3a
parse_entries, basic@004020a0, 004020a0, 004020a8
parse_entries, basic@00402160, 00402160, 004021bf
parse_entries, basic@004020ae, 004020ae, 004020f9
parse_entries, basic@00401e47, 00401e47, 00401e65
parse_entries, basic@00401e6b, 00401e6b, 00401e6e
parse_entries, basic@00402020, 00402020, 00402024
parse_entries, basic@0040202a, 0040202a, 00402032
parse_entries, basic@00402040, 00402040, 00402057
parse_entries, basic@00402102, 00402102, 00402102
parse_entries, basic@00401e90, 00401e90, 00401eae
parse_entries, basic@004021e8, 004021e8, 004021f0
parse_entries, basic@004021f6, 004021f6, 00402227
parse_entries, basic@00401fe0, 00401fe0, 00401fe9
parse_entries, basic@00401fee, 00401fee, 00401fee
parse_entries, basic@00401fee, 00401fee, 00401fee
parse_entries, basic@00401ff0, 00401ff0, 00401ff0
parse_entries, basic@00401ff2, 00401ff2, 00402015
parse_entries, basic@00401f88, 00401f88, 00401f91
